 tanbeta=5.000000, M_Hp =180.526000, BR(H->taunu)=0.731186, BR(H->tb)=0.241657
 tanbeta=5.000000, M_Hp =200.535000, BR(H->taunu)=0.169792, BR(H->tb)=0.817053
 tanbeta=5.000000, M_Hp =220.910000, BR(H->taunu)=0.080715, BR(H->tb)=0.869806
 tanbeta=5.000000, M_Hp =240.676000, BR(H->taunu)=0.041369, BR(H->tb)=0.671911
 tanbeta=5.000000, M_Hp =250.171000, BR(H->taunu)=0.035701, BR(H->tb)=0.664358
 tanbeta=5.000000, M_Hp =260.650000, BR(H->taunu)=0.031499, BR(H->tb)=0.661665
 tanbeta=5.000000, M_Hp =280.811000, BR(H->taunu)=0.026461, BR(H->tb)=0.661667
 tanbeta=5.000000, M_Hp =300.150000, BR(H->taunu)=0.022798, BR(H->tb)=0.641995
 tanbeta=5.000000, M_Hp =350.501000, BR(H->taunu)=0.017161, BR(H->tb)=0.583223
 tanbeta=5.000000, M_Hp =400.071000, BR(H->taunu)=0.013466, BR(H->tb)=0.504500
 tanbeta=5.000000, M_Hp =500.181000, BR(H->taunu)=0.006197, BR(H->tb)=0.253983
 tanbeta=5.000000, M_Hp =600.534000, BR(H->taunu)=0.004783, BR(H->tb)=0.202538
 tanbeta=5.000000, M_Hp =700.761000, BR(H->taunu)=0.004229, BR(H->tb)=0.180948




 tanbeta=30.000000, M_Hp =180.149000, BR(H->taunu)=0.901490, BR(H->tb)=0.081662
 tanbeta=30.000000, M_Hp =200.600000, BR(H->taunu)=0.534418, BR(H->tb)=0.455760
 tanbeta=30.000000, M_Hp =220.618000, BR(H->taunu)=0.367483, BR(H->tb)=0.625690
 tanbeta=30.000000, M_Hp =240.041000, BR(H->taunu)=0.286135, BR(H->tb)=0.692009
 tanbeta=30.000000, M_Hp =240.974000, BR(H->taunu)=0.282933, BR(H->tb)=0.693019
 tanbeta=30.000000, M_Hp =250.341000, BR(H->taunu)=0.257198, BR(H->tb)=0.705360
 tanbeta=30.000000, M_Hp =260.709000, BR(H->taunu)=0.236659, BR(H->tb)=0.717428
 tanbeta=30.000000, M_Hp =280.614000, BR(H->taunu)=0.210035, BR(H->tb)=0.733824
 tanbeta=30.000000, M_Hp =300.706000, BR(H->taunu)=0.192875, BR(H->tb)=0.744171
 tanbeta=30.000000, M_Hp =350.804000, BR(H->taunu)=0.168414, BR(H->tb)=0.750776
 tanbeta=30.000000, M_Hp =400.170000, BR(H->taunu)=0.151062, BR(H->tb)=0.722967
 tanbeta=30.000000, M_Hp =500.000000, BR(H->taunu)=0.110921, BR(H->tb)=0.563428
 tanbeta=30.000000, M_Hp =500.988000, BR(H->taunu)=0.110689, BR(H->tb)=0.562418
 tanbeta=30.000000, M_Hp =600.955000, BR(H->taunu)=0.095882, BR(H->tb)=0.495196
 tanbeta=30.000000, M_Hp =700.063000, BR(H->taunu)=0.088969, BR(H->tb)=0.459958
