#delta b values as f(tan beta) using FeynHiggs 2.9.5, contact: Martin Flechl
#More info: https://twiki.cern.ch/twiki/bin/view/LHCPhysics/MSSMCharged

    Row           tb     deltab 

        0          1  0.0111104 
        1          2  0.0172689 
        2          3  0.0245274 
        3          4  0.0320610 
        4          5  0.0397047 
        5          6  0.0474035 
        6          7  0.0551338 
        7          8  0.0628837 
        8          9  0.0706468 
        9         10  0.0784191 
       10         11  0.0861981 
       11         12  0.0939822 
       12         13  0.1017701 
       13         14  0.1095612 
       14         15  0.1173547 
       15         16  0.1251502 
       16         17  0.1329475 
       17         18  0.1407461 
       18         19  0.1485459 
       19         20  0.1563461 
       20         21  0.1641478 
       21         22  0.1719503 
       22         23  0.1797535 
       23         24  0.1875573 
       24         25  0.1953616 
       25         26  0.2031664 
       26         27  0.2109717 
       27         28  0.2187774 
       28         29  0.2265835 
       29         30  0.2343900 
       30         31  0.2421968 
       31         32  0.2500039 
       32         33  0.2578113 
       33         34  0.2656189 
       34         35  0.2734268 
       35         36  0.2812350 
       36         37  0.2890434 
       37         38  0.2968521 
       38         39  0.3046609 
       39         40  0.3124700 
       40         41  0.3202793 
       41         42  0.3280888 
       42         43  0.3358985 
       43         44  0.3437083 
       44         45  0.3515184 
       45         46  0.3593286 
       46         47  0.3671391 
       47         48  0.3749496 
       48         49  0.3827604 
       49         50  0.3905714 
       50         51  0.3983825 
       51         52  0.4061938 
       52         53  0.4140052 
       53         54  0.4218168 
       54         55  0.4296286 
       55         56  0.4374406 
       56         57  0.4452527 
       57         58  0.4530649 
       58         59  0.4608774 
       59         60  0.4686900 
       60         61  0.4765027 
       61         62  0.4843156 
       62         63  0.4921287 
       63         64  0.4999420 
       64         65  0.5077553 
       65         66  0.5155689 
       66         67  0.5233826 
       67         68  0.5311965 
       68         69  0.5390105 
       69         70          0 

