#delta b values as f(tan beta) using FeynHiggs 2.9.5, contact: Martin Flechl
#More info: https://twiki.cern.ch/twiki/bin/view/LHCPhysics/MSSMCharged

    Row           tb     deltab 

        0          1  0.0161123 
        1          2  0.0247043 
        2          3  0.0349630 
        3          4  0.0456397 
        4          5  0.0564839 
        5          6  0.0674121 
        6          7  0.0783884 
        7          8  0.0893949 
        8          9  0.1004217 
        9         10  0.1114627 
       10         11  0.1225142 
       11         12  0.1335734 
       12         13  0.1446391 
       13         14  0.1557098 
       14         15  0.1667846 
       15         16  0.1778629 
       16         17  0.1889441 
       17         18  0.2000279 
       18         19  0.2111139 
       19         20  0.2222019 
       20         21  0.2332918 
       21         22  0.2443833 
       22         23  0.2554764 
       23         24  0.2665709 
       24         25  0.2776668 
       25         26  0.2887640 
       26         27  0.2998625 
       27         28  0.3109622 
       28         29  0.3220631 
       29         30  0.3331651 
       30         31  0.3442682 
       31         32  0.3553725 
       32         33  0.3664779 
       33         34  0.3775843 
       34         35  0.3886919 
       35         36  0.3998005 
       36         37  0.4109103 
       37         38  0.4220211 
       38         39  0.4331330 
       39         40  0.4442460 
       40         41  0.4553601 
       41         42  0.4664753 
       42         43  0.4775916 
       43         44  0.4887090 
       44         45  0.4998276 
       45         46  0.5109474 
       46         47  0.5220683 
       47         48  0.5331903 
       48         49  0.5443136 
       49         50  0.5554380 
       50         51  0.5665636 
       51         52  0.5776905 
       52         53  0.5888186 
       53         54  0.5999480 
       54         55  0.6110786 
       55         56  0.6222106 
       56         57  0.6333438 
       57         58  0.6444783 
       58         59  0.6556143 
       59         60  0.6667515 
       60         61  0.6778901 
       61         62  0.6890301 
       62         63  0.7001716 
       63         64  0.7113144 
       64         65  0.7224588 
       65         66  0.7336046 
       66         67  0.7447519 
       67         68  0.7559007 
       68         69  0.7670510 
       69         70  0.7782029 

