#delta b values as f(tan beta) using FeynHiggs 2.9.5, contact: Martin Flechl
#More info: https://twiki.cern.ch/twiki/bin/view/LHCPhysics/MSSMCharged

    Row           tb     deltab 

        0          1  0.0245105 
        1          2  0.0379110 
        2          3  0.0537789 
        3          4  0.0702641 
        4          5  0.0869965 
        5          6  0.1038525 
        6          7  0.1207794 
        7          8  0.1377506 
        8          9  0.1547504 
        9         10  0.1717719 
       10         11  0.1888086 
       11         12  0.2058568 
       12         13  0.2229139 
       13         14  0.2399781 
       14         15  0.2570480 
       15         16  0.2741227 
       16         17  0.2912013 
       17         18  0.3082832 
       18         19  0.3253681 
       19         20  0.3424554 
       20         21  0.3595449 
       21         22  0.3766365 
       22         23  0.3937297 
       23         24  0.4108246 
       24         25  0.4279209 
       25         26  0.4450185 
       26         27  0.4621173 
       27         28  0.4792173 
       28         29  0.4963184 
       29         30  0.5134204 
       30         31  0.5305234 
       31         32  0.5476273 
       32         33  0.5647320 
       33         34  0.5818375 
       34         35  0.5989439 
       35         36  0.6160510 
       36         37  0.6331589 
       37         38  0.6502674 
       38         39  0.6673766 
       39         40  0.6844866 
       40         41  0.7015972 
       41         42  0.7187084 
       42         43  0.7358202 
       43         44  0.7529327 
       44         45  0.7700459 
       45         46  0.7871596 
       46         47  0.8042739 
       47         48  0.8213889 
       48         49  0.8385044 
       49         50  0.8556205 
       50         51  0.8727372 
       51         52  0.8898544 
       52         53  0.9069723 
       53         54  0.9240907 
       54         55  0.9412097 
       55         56  0.9583293 
       56         57  0.9754494 
       57         58  0.9925701 
       58         59  1.0096914 
       59         60  1.0268133 
       60         61  1.0439357 
       61         62  1.0610587 
       62         63  1.0781823 
       63         64  1.0953065 
       64         65  1.1124312 
       65         66  1.1295566 
       66         67  1.1466825 
       67         68  1.1638090 
       68         69  1.1809361 
       69         70  1.1980637 

