#delta b values as f(tan beta) using FeynHiggs 2.9.5, contact: Martin Flechl
#More info: https://twiki.cern.ch/twiki/bin/view/LHCPhysics/MSSMCharged

    Row           tb     deltab 

        0          1  0.0058302 
        1          2  0.0085154 
        2          3  0.0119009 
        3          4  0.0154612 
        4          5  0.0190912 
        5          6  0.0227561 
        6          7  0.0264409 
        7          8  0.0301382 
        8          9  0.0338438 
        9         10  0.0375551 
       10         11  0.0412707 
       11         12  0.0449895 
       12         13  0.0487107 
       13         14  0.0524338 
       14         15  0.0561584 
       15         16  0.0598843 
       16         17  0.0636112 
       17         18  0.0673389 
       18         19  0.0710673 
       19         20  0.0747964 
       20         21  0.0785259 
       21         22  0.0822560 
       22         23  0.0859864 
       23         24  0.0897171 
       24         25  0.0934481 
       25         26  0.0971794 
       26         27  0.1009109 
       27         28  0.1046426 
       28         29  0.1083745 
       29         30  0.1121066 
       30         31  0.1158388 
       31         32  0.1195712 
       32         33  0.1233036 
       33         34  0.1270362 
       34         35  0.1307689 
       35         36  0.1345008 
       36         37  0.1382336 
       37         38  0.1419664 
       38         39  0.1456994 
       39         40  0.1494323 
       40         41  0.1531654 
       41         42  0.1568984 
       42         43  0.1606316 
       43         44  0.1643647 
       44         45  0.1680979 
       45         46  0.1718312 
       46         47  0.1755644 
       47         48  0.1792977 
       48         49  0.1830311 
       49         50  0.1867644 
       50         51  0.1904978 
       51         52  0.1942312 
       52         53  0.1979646 
       53         54  0.2016980 
       54         55  0.2054314 
       55         56  0.2091649 
       56         57  0.2128983 
       57         58  0.2166318 
       58         59  0.2203653 
       59         60  0.2240988 
       60         61  0.2278323 
       61         62  0.2315658 
       62         63  0.2352993 
       63         64  0.2390328 
       64         65  0.2427663 
       65         66  0.2464998 
       66         67  0.2502334 
       67         68  0.2539669 
       68         69  0.2577004 
       69         70  0.2614339 

