#delta b values as f(tan beta) using FeynHiggs 2.9.5, contact: Martin Flechl
#More info: https://twiki.cern.ch/twiki/bin/view/LHCPhysics/MSSMCharged

    Row           tb     deltab 

        0          1  -0.002294 
        1          2  -0.001597 
        2          3  -0.001565 
        3          4  -0.001698 
        4          5  -0.001898 
        5          6  -0.002131 
        6          7  -0.002383 
        7          8  -0.002647 
        8          9  -0.002919 
        9         10  -0.003196 
       10         11  -0.003478 
       11         12  -0.003763 
       12         13  -0.004050 
       13         14  -0.004338 
       14         15  -0.004629 
       15         16  -0.004920 
       16         17  -0.005212 
       17         18  -0.005506 
       18         19  -0.005800 
       19         20  -0.006094 
       20         21  -0.006389 
       21         22  -0.006685 
       22         23  -0.006981 
       23         24  -0.007277 
       24         25  -0.007573 
       25         26  -0.007870 
       26         27  -0.008167 
       27         28  -0.008464 
       28         29  -0.008762 
       29         30  -0.009060 
       30         31  -0.009357 
       31         32  -0.009655 
       32         33  -0.009953 
       33         34  -0.010252 
       34         35  -0.010550 
       35         36  -0.010848 
       36         37  -0.011147 
       37         38  -0.011446 
       38         39  -0.011744 
       39         40  -0.012043 
       40         41  -0.012342 
       41         42  -0.012641 
       42         43  -0.012940 
       43         44  -0.013239 
       44         45  -0.013538 
       45         46  -0.013838 
       46         47  -0.014137 
       47         48  -0.014437 
       48         49  -0.014736 
       49         50  -0.015036 
       50         51  -0.015335 
       51         52  -0.015635 
       52         53  -0.015935 
       53         54  -0.016234 
       54         55  -0.016534 
       55         56  -0.016834 
       56         57  -0.017134 
       57         58  -0.017434 
       58         59  -0.017734 
       59         60  -0.018034 
       60         61  -0.018334 
       61         62  -0.018634 
       62         63  -0.018935 
       63         64  -0.019240 
       64         65  -0.019540 
       65         66  -0.019841 
       66         67  -0.020141 
       67         68  -0.020442 
       68         69  -0.020742 
       69         70  -0.021043 

