#delta b values as f(tan beta) using FeynHiggs 2.9.5, contact: Martin Flechl
#More info: https://twiki.cern.ch/twiki/bin/view/LHCPhysics/MSSMCharged

    Row           tb     deltab 

        0          1  0.0103724 
        1          2  0.0149045 
        2          3  0.0207347 
        3          4  0.0268894 
        4          5  0.0331738 
        5          6  0.0395231 
        6          7  0.0459095 
        7          8  0.0523190 
        8          9  0.0587440 
        9         10  0.0651799 
       10         11  0.0716236 
       11         12  0.0780731 
       12         13  0.0845273 
       13         14  0.0909850 
       14         15  0.0974455 
       15         16  0.1039084 
       16         17  0.1103732 
       17         18  0.1168396 
       18         19  0.1233073 
       19         20  0.1297762 
       20         21  0.1362461 
       21         22  0.1427168 
       22         23  0.1491882 
       23         24  0.1556604 
       24         25  0.1621330 
       25         26  0.1686062 
       26         27  0.1750798 
       27         28  0.1815539 
       28         29  0.1880283 
       29         30  0.1945030 
       30         31  0.2009780 
       31         32  0.2074533 
       32         33  0.2139288 
       33         34  0.2204046 
       34         35  0.2268805 
       35         36  0.2333567 
       36         37  0.2398331 
       37         38  0.2463095 
       38         39  0.2527862 
       39         40  0.2592630 
       40         41  0.2657399 
       41         42  0.2722120 
       42         43  0.2786889 
       43         44  0.2851659 
       44         45  0.2916431 
       45         46  0.2981203 
       46         47  0.3045976 
       47         48  0.3110750 
       48         49  0.3175525 
       49         50  0.3240301 
       50         51  0.3305077 
       51         52  0.3369854 
       52         53  0.3434631 
       53         54  0.3499409 
       54         55  0.3564188 
       55         56  0.3628967 
       56         57  0.3693747 
       57         58  0.3758527 
       58         59  0.3823308 
       59         60  0.3888089 
       60         61  0.3952871 
       61         62  0.4017653 
       62         63  0.4082436 
       63         64  0.4147219 
       64         65  0.4212002 
       65         66  0.4276786 
       66         67  0.4341570 
       67         68  0.4406355 
       68         69  0.4471139 
       69         70  0.4535925 

